[2021-06-03T22:24:09.640-0800][gc,phases   ] GC(233)   Evacuate Collection Set: 0.9ms
[2021-06-03T22:24:09.640-0800][gc,phases   ] GC(233)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:24:09.640-0800][gc,phases   ] GC(233)   Other: 0.6ms
[2021-06-03T22:24:09.640-0800][gc,heap     ] GC(233) Eden regions: 255->0(255)
[2021-06-03T22:24:09.640-0800][gc,heap     ] GC(233) Survivor regions: 1->1(32)
[2021-06-03T22:24:09.640-0800][gc,heap     ] GC(233) Old regions: 48->48
[2021-06-03T22:24:09.640-0800][gc,heap     ] GC(233) Archive regions: 2->2
[2021-06-03T22:24:09.640-0800][gc,heap     ] GC(233) Humongous regions: 164->164
[2021-06-03T22:24:09.640-0800][gc,metaspace] GC(233) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:24:09.640-0800][gc          ] GC(233) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 2.315ms
[2021-06-03T22:24:09.640-0800][gc,cpu      ] GC(233) User=0.01s Sys=0.00s Real=0.01s
[2021-06-03T22:26:29.699-0800][gc,start    ] GC(234) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:26:29.700-0800][gc,task     ] GC(234) Using 10 workers of 10 for evacuation
[2021-06-03T22:26:29.703-0800][gc,phases   ] GC(234)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:26:29.703-0800][gc,phases   ] GC(234)   Merge Heap Roots: 0.1ms
[2021-06-03T22:26:29.703-0800][gc,phases   ] GC(234)   Evacuate Collection Set: 1.8ms
[2021-06-03T22:26:29.703-0800][gc,phases   ] GC(234)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:26:29.703-0800][gc,phases   ] GC(234)   Other: 1.1ms
[2021-06-03T22:26:29.703-0800][gc,heap     ] GC(234) Eden regions: 255->0(255)
[2021-06-03T22:26:29.703-0800][gc,heap     ] GC(234) Survivor regions: 1->1(32)
[2021-06-03T22:26:29.703-0800][gc,heap     ] GC(234) Old regions: 48->48
[2021-06-03T22:26:29.703-0800][gc,heap     ] GC(234) Archive regions: 2->2
[2021-06-03T22:26:29.703-0800][gc,heap     ] GC(234) Humongous regions: 164->164
[2021-06-03T22:26:29.703-0800][gc,metaspace] GC(234) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:26:29.703-0800][gc          ] GC(234) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 3.834ms
[2021-06-03T22:26:29.703-0800][gc,cpu      ] GC(234) User=0.01s Sys=0.00s Real=0.01s
[2021-06-03T22:28:49.773-0800][gc,start    ] GC(235) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:28:49.774-0800][gc,task     ] GC(235) Using 10 workers of 10 for evacuation
[2021-06-03T22:28:49.776-0800][gc,phases   ] GC(235)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:28:49.776-0800][gc,phases   ] GC(235)   Merge Heap Roots: 0.1ms
[2021-06-03T22:28:49.776-0800][gc,phases   ] GC(235)   Evacuate Collection Set: 1.3ms
[2021-06-03T22:28:49.776-0800][gc,phases   ] GC(235)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:28:49.776-0800][gc,phases   ] GC(235)   Other: 0.8ms
[2021-06-03T22:28:49.776-0800][gc,heap     ] GC(235) Eden regions: 255->0(255)
[2021-06-03T22:28:49.776-0800][gc,heap     ] GC(235) Survivor regions: 1->1(32)
[2021-06-03T22:28:49.776-0800][gc,heap     ] GC(235) Old regions: 48->48
[2021-06-03T22:28:49.776-0800][gc,heap     ] GC(235) Archive regions: 2->2
[2021-06-03T22:28:49.776-0800][gc,heap     ] GC(235) Humongous regions: 164->164
[2021-06-03T22:28:49.776-0800][gc,metaspace] GC(235) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:28:49.776-0800][gc          ] GC(235) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 2.913ms
[2021-06-03T22:28:49.776-0800][gc,cpu      ] GC(235) User=0.00s Sys=0.00s Real=0.00s
[2021-06-03T22:31:07.869-0800][gc,start    ] GC(236) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:31:07.870-0800][gc,task     ] GC(236) Using 10 workers of 10 for evacuation
[2021-06-03T22:31:07.873-0800][gc,phases   ] GC(236)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:31:07.873-0800][gc,phases   ] GC(236)   Merge Heap Roots: 0.1ms
[2021-06-03T22:31:07.873-0800][gc,phases   ] GC(236)   Evacuate Collection Set: 2.0ms
[2021-06-03T22:31:07.873-0800][gc,phases   ] GC(236)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:31:07.873-0800][gc,phases   ] GC(236)   Other: 0.8ms
[2021-06-03T22:31:07.873-0800][gc,heap     ] GC(236) Eden regions: 255->0(255)
[2021-06-03T22:31:07.873-0800][gc,heap     ] GC(236) Survivor regions: 1->1(32)
[2021-06-03T22:31:07.873-0800][gc,heap     ] GC(236) Old regions: 48->48
[2021-06-03T22:31:07.873-0800][gc,heap     ] GC(236) Archive regions: 2->2
[2021-06-03T22:31:07.873-0800][gc,heap     ] GC(236) Humongous regions: 164->164
[2021-06-03T22:31:07.873-0800][gc,metaspace] GC(236) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:31:07.873-0800][gc          ] GC(236) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 3.557ms
[2021-06-03T22:31:07.873-0800][gc,cpu      ] GC(236) User=0.01s Sys=0.00s Real=0.01s
[2021-06-03T22:33:21.291-0800][gc,start    ] GC(237) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:33:21.291-0800][gc,task     ] GC(237) Using 10 workers of 10 for evacuation
[2021-06-03T22:33:21.293-0800][gc,phases   ] GC(237)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:33:21.293-0800][gc,phases   ] GC(237)   Merge Heap Roots: 0.1ms
[2021-06-03T22:33:21.293-0800][gc,phases   ] GC(237)   Evacuate Collection Set: 0.7ms
[2021-06-03T22:33:21.293-0800][gc,phases   ] GC(237)   Post Evacuate Collection Set: 0.4ms
[2021-06-03T22:33:21.293-0800][gc,phases   ] GC(237)   Other: 0.8ms
[2021-06-03T22:33:21.293-0800][gc,heap     ] GC(237) Eden regions: 255->0(255)
[2021-06-03T22:33:21.293-0800][gc,heap     ] GC(237) Survivor regions: 1->1(32)
[2021-06-03T22:33:21.293-0800][gc,heap     ] GC(237) Old regions: 48->48
[2021-06-03T22:33:21.293-0800][gc,heap     ] GC(237) Archive regions: 2->2
[2021-06-03T22:33:21.293-0800][gc,heap     ] GC(237) Humongous regions: 164->164
[2021-06-03T22:33:21.293-0800][gc,metaspace] GC(237) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:33:21.293-0800][gc          ] GC(237) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 2.162ms
[2021-06-03T22:33:21.293-0800][gc,cpu      ] GC(237) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:35:40.857-0800][gc,start    ] GC(238) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:35:40.857-0800][gc,task     ] GC(238) Using 10 workers of 10 for evacuation
[2021-06-03T22:35:40.859-0800][gc,phases   ] GC(238)   Pre Evacuate Collection Set: 0.1ms
[2021-06-03T22:35:40.859-0800][gc,phases   ] GC(238)   Merge Heap Roots: 0.1ms
[2021-06-03T22:35:40.859-0800][gc,phases   ] GC(238)   Evacuate Collection Set: 0.9ms
[2021-06-03T22:35:40.859-0800][gc,phases   ] GC(238)   Post Evacuate Collection Set: 0.4ms
[2021-06-03T22:35:40.859-0800][gc,phases   ] GC(238)   Other: 0.8ms
[2021-06-03T22:35:40.859-0800][gc,heap     ] GC(238) Eden regions: 255->0(255)
[2021-06-03T22:35:40.859-0800][gc,heap     ] GC(238) Survivor regions: 1->1(32)
[2021-06-03T22:35:40.859-0800][gc,heap     ] GC(238) Old regions: 48->48
[2021-06-03T22:35:40.859-0800][gc,heap     ] GC(238) Archive regions: 2->2
[2021-06-03T22:35:40.859-0800][gc,heap     ] GC(238) Humongous regions: 164->164
[2021-06-03T22:35:40.859-0800][gc,metaspace] GC(238) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:35:40.859-0800][gc          ] GC(238) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 2.428ms
[2021-06-03T22:35:40.859-0800][gc,cpu      ] GC(238) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:38:00.151-0800][gc,start    ] GC(239) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:38:00.152-0800][gc,task     ] GC(239) Using 10 workers of 10 for evacuation
[2021-06-03T22:38:00.154-0800][gc,phases   ] GC(239)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:38:00.154-0800][gc,phases   ] GC(239)   Merge Heap Roots: 0.1ms
[2021-06-03T22:38:00.154-0800][gc,phases   ] GC(239)   Evacuate Collection Set: 1.0ms
[2021-06-03T22:38:00.154-0800][gc,phases   ] GC(239)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:38:00.154-0800][gc,phases   ] GC(239)   Other: 1.1ms
[2021-06-03T22:38:00.154-0800][gc,heap     ] GC(239) Eden regions: 255->0(255)
[2021-06-03T22:38:00.154-0800][gc,heap     ] GC(239) Survivor regions: 1->1(32)
[2021-06-03T22:38:00.154-0800][gc,heap     ] GC(239) Old regions: 48->48
[2021-06-03T22:38:00.154-0800][gc,heap     ] GC(239) Archive regions: 2->2
[2021-06-03T22:38:00.154-0800][gc,heap     ] GC(239) Humongous regions: 164->164
[2021-06-03T22:38:00.154-0800][gc,metaspace] GC(239) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:38:00.154-0800][gc          ] GC(239) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 2.956ms
[2021-06-03T22:38:00.154-0800][gc,cpu      ] GC(239) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:40:20.199-0800][gc,start    ] GC(240) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:40:20.199-0800][gc,task     ] GC(240) Using 10 workers of 10 for evacuation
[2021-06-03T22:40:20.201-0800][gc,phases   ] GC(240)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:40:20.201-0800][gc,phases   ] GC(240)   Merge Heap Roots: 0.1ms
[2021-06-03T22:40:20.201-0800][gc,phases   ] GC(240)   Evacuate Collection Set: 0.7ms
[2021-06-03T22:40:20.201-0800][gc,phases   ] GC(240)   Post Evacuate Collection Set: 0.4ms
[2021-06-03T22:40:20.201-0800][gc,phases   ] GC(240)   Other: 0.6ms
